,MIN,MAX
T2.34,0.0,303.3836669921875
T2.35,0.0,303.3659362792969
T2.36,0.0,303.1396179199219
T2.37,0.0,303.2851257324219
T2.38,0.0,303.3836669921875
T2.39,0.0,303.3659362792969
T2.40,0.0,303.1396179199219
T2.41,0.0,303.2851257324219
T2.42,0.0,303.3836669921875
T2.43,0.0,303.3659362792969
T2.44,0.0,303.1396179199219
T2.45,0.0,303.2851257324219
T2.46,0.0,303.3836669921875
T2.47,0.0,303.3659362792969
T2.48,0.0,303.1396179199219
T2.49,0.0,303.2851257324219
T2.50,0.0,303.3836669921875
T2.51,0.0,303.3659362792969
T2.52,0.0,303.1396179199219
T2.53,0.0,303.2851257324219
T2.54,0.0,303.3836669921875
T2.55,0.0,303.3659362792969
T2.56,0.0,303.1396179199219
T2.57,0.0,303.2851257324219
T2.58,0.0,303.3836669921875
T2.59,0.0,303.3659362792969
T2.60,0.0,303.1396179199219
T2.61,0.0,303.2851257324219
T2.62,0.0,303.3836669921875
T2.63,0.0,303.3659362792969
T2.64,0.0,303.1396179199219
T2.65,0.0,303.2851257324219
T2.66,0.0,303.3836669921875
T2.67,0.0,303.3659362792969
T2.68,0.0,303.1396179199219
T2.69,0.0,303.2851257324219
T2.70,0.0,303.3836669921875
T2.71,0.0,303.3659362792969
T2.72,0.0,303.1396179199219
T2.73,0.0,303.2851257324219
T2.74,0.0,303.3836669921875
T2.75,0.0,303.3659362792969
T2.76,0.0,303.1396179199219
T2.77,0.0,303.2851257324219
T2.78,0.0,303.3836669921875
T2.79,0.0,303.3659362792969
T2.80,0.0,303.1396179199219
T2.81,0.0,303.2851257324219
T2.82,0.0,303.3836669921875
T2.83,0.0,303.3659362792969
T2.84,0.0,303.1396179199219
T2.85,0.0,303.2851257324219
T2.86,0.0,303.3836669921875
T2.87,0.0,303.3659362792969
T2.88,0.0,303.1396179199219
T2.89,0.0,303.1566162109375
T2.90,0.0,303.2594299316406
T2.91,0.0,303.1368408203125
T2.92,0.0,302.4918518066406
T2.93,0.0,302.5014343261719
T2.94,0.0,302.51715087890625
T2.95,0.0,302.4998779296875
T2.96,0.0,302.4918518066406
T2.97,0.0,302.5014343261719
T2.98,0.0,302.51715087890625
T2.99,0.0,302.4998779296875
TH2,0.0,324.3849792480469
TH2.1,0.0,324.50494384765625
TH2.2,0.0,324.6546936035156
TH2.3,0.0,324.62554931640625
TH2.4,0.0,324.3849792480469
TH2.5,0.0,324.50494384765625
TH2.6,0.0,324.6546936035156
TH2.7,0.0,324.62554931640625
TH2.8,0.0,324.3849792480469
TH2.9,0.0,324.50494384765625
TH2.10,0.0,324.6546936035156
TH2.11,0.0,324.62554931640625
TH2.12,0.0,324.3849792480469
TH2.13,0.0,324.50494384765625
TH2.14,0.0,324.6546936035156
TH2.15,0.0,324.62554931640625
TH2.16,0.0,324.3849792480469
TH2.17,0.0,324.50494384765625
TH2.18,0.0,324.6546936035156
TH2.19,0.0,324.62554931640625
TH2.20,0.0,324.3849792480469
TH2.21,0.0,324.50494384765625
TH2.22,0.0,324.6546936035156
TH2.23,0.0,324.62554931640625
TH2.24,0.0,324.3849792480469
TH2.25,0.0,324.50494384765625
TH2.26,0.0,324.6546936035156
TH2.27,0.0,324.62554931640625
TH2.28,0.0,324.3849792480469
TH2.29,0.0,324.50494384765625
TH2.30,0.0,324.6546936035156
TH2.31,0.0,324.62554931640625
TH2.32,0.0,324.3849792480469
TH2.33,0.0,324.50494384765625
TH2.34,0.0,324.6546936035156
TH2.35,0.0,324.62554931640625
TH2.36,0.0,324.3849792480469
TH2.37,0.0,324.50494384765625
TH2.38,0.0,324.6546936035156
TH2.39,0.0,324.62554931640625
TH2.40,0.0,324.3849792480469
TH2.41,0.0,324.50494384765625
TH2.42,0.0,324.6546936035156
TH2.43,0.0,324.62554931640625
TH2.44,0.0,324.3849792480469
TH2.45,0.0,324.50494384765625
TH2.46,0.0,324.6546936035156
TH2.47,0.0,324.62554931640625
TH2.48,0.0,324.3849792480469
TH2.49,0.0,324.50494384765625
TH2.50,0.0,324.6546936035156
TH2.51,0.0,324.62554931640625
TH2.52,0.0,324.3849792480469
TH2.53,0.0,324.50494384765625
TH2.54,0.0,324.6546936035156
TH2.55,0.0,324.62554931640625
TH2.56,0.0,324.3849792480469
TH2.57,0.0,324.50494384765625
TH2.58,0.0,324.6546936035156
TH2.59,0.0,324.62554931640625
TH2.60,0.0,324.3849792480469
TH2.61,0.0,324.50494384765625
TH2.62,0.0,324.6546936035156
TH2.63,0.0,324.62554931640625
TH2.64,0.0,324.3849792480469
TH2.65,0.0,324.50494384765625
TH2.66,0.0,324.6546936035156
TH2.67,0.0,324.62554931640625
TH2.68,0.0,324.3849792480469
TH2.69,0.0,324.50494384765625
TH2.70,0.0,324.6546936035156
TH2.71,0.0,324.62554931640625
TH2.72,0.0,324.3849792480469
TH2.73,0.0,324.50494384765625
TH2.74,0.0,324.6546936035156
TH2.75,0.0,324.62554931640625
TH2.76,0.0,324.3849792480469
TH2.77,0.0,324.50494384765625
TH2.78,0.0,324.6546936035156
TH2.79,0.0,324.62554931640625
TH2.80,0.0,324.3849792480469
TH2.81,0.0,324.50494384765625
TH2.82,0.0,324.6546936035156
TH2.83,0.0,324.62554931640625
TH2.84,0.0,324.3849792480469
TH2.85,0.0,324.50494384765625
TH2.86,0.0,324.6546936035156
TH2.87,0.0,324.62554931640625
TH2.88,0.0,324.3849792480469
TH2.89,0.0,324.4395446777344
TH2.90,0.0,324.59381103515625
TH2.91,0.0,324.4510498046875
TH2.92,0.0,323.74078369140625
TH2.93,0.0,323.7834167480469
TH2.94,0.0,323.836669921875
TH2.95,0.0,323.8088073730469
TH2.96,0.0,323.74078369140625
TH2.97,0.0,323.7834167480469
TH2.98,0.0,323.836669921875
TH2.99,0.0,323.8088073730469
RAINNC,0.0,74.22674560546875
RAINNC.1,0.0,67.63688659667969
RAINNC.2,0.0,59.912010192871094
RAINNC.3,0.0,28.28386116027832
RAINNC.4,0.0,74.91175842285156
RAINNC.5,0.0,68.58547973632811
RAINNC.6,0.0,61.3150520324707
RAINNC.7,0.0,29.058818817138672
RAINNC.8,0.0,76.45703887939453
RAINNC.9,0.0,70.16486358642578
RAINNC.10,0.0,62.79782485961914
RAINNC.11,0.0,29.86406898498535
RAINNC.12,0.0,78.08391571044922
RAINNC.13,0.0,71.63693237304688
RAINNC.14,0.0,64.27227020263672
RAINNC.15,0.0,30.619304656982425
RAINNC.16,0.0,79.61268615722656
RAINNC.17,0.0,72.95934295654297
RAINNC.18,0.0,65.57907867431639
RAINNC.19,0.0,31.284873962402344
RAINNC.20,0.0,80.85822296142578
RAINNC.21,0.0,74.1500473022461
RAINNC.22,0.0,67.06782531738281
RAINNC.23,0.0,32.006202697753906
RAINNC.24,0.0,81.58142852783203
RAINNC.25,0.0,75.04634857177734
RAINNC.26,0.0,68.35284423828125
RAINNC.27,0.0,32.756988525390625
RAINNC.28,0.0,82.0291976928711
RAINNC.29,0.0,75.55903625488281
RAINNC.30,0.0,69.58489227294922
RAINNC.31,0.0,33.490707397460945
RAINNC.32,0.0,82.39096069335938
RAINNC.33,0.0,75.93598937988281
RAINNC.34,0.0,70.8902816772461
RAINNC.35,0.0,34.36520767211914
RAINNC.36,0.0,82.70291137695312
RAINNC.37,0.0,76.19723510742188
RAINNC.38,0.0,71.85962677001953
RAINNC.39,0.0,35.062389373779304
RAINNC.40,0.0,82.9202880859375
RAINNC.41,0.0,76.34935760498047
RAINNC.42,0.0,72.14264678955078
RAINNC.43,0.0,35.257747650146484
RAINNC.44,0.0,83.03720092773438
RAINNC.45,0.0,76.47860717773438
RAINNC.46,0.0,72.37230682373047
RAINNC.47,0.0,35.37301254272461
RAINNC.48,0.0,83.31897735595703
RAINNC.49,0.0,76.71979522705078
RAINNC.50,0.0,72.56819915771484
RAINNC.51,0.0,35.441123962402344
RAINNC.52,0.0,83.46464538574219
RAINNC.53,0.0,76.86315155029297
RAINNC.54,0.0,72.759033203125
RAINNC.55,0.0,35.52688980102539
RAINNC.56,0.0,83.52245330810547
RAINNC.57,0.0,76.94701385498047
RAINNC.58,0.0,72.86398315429688
RAINNC.59,0.0,35.57414627075195
RAINNC.60,0.0,83.57466888427734
RAINNC.61,0.0,77.08924865722656
RAINNC.62,0.0,72.98880767822266
RAINNC.63,0.0,35.647483825683594
RAINNC.64,0.0,83.62648010253906
RAINNC.65,0.0,77.20684051513672
RAINNC.66,0.0,73.05194854736328
RAINNC.67,0.0,35.6628532409668
RAINNC.68,0.0,83.65292358398438
RAINNC.69,0.0,77.24899291992188
RAINNC.70,0.0,73.08261108398438
RAINNC.71,0.0,35.98711013793945
RAINNC.72,0.0,85.90308380126953
RAINNC.73,0.0,78.33719635009766
RAINNC.74,0.0,73.95435333251953
RAINNC.75,0.0,37.43932342529297
RAINNC.76,0.0,88.57799530029297
RAINNC.77,0.0,80.59907531738281
RAINNC.78,0.0,76.79387664794922
RAINNC.79,0.0,38.95718002319336
RAINNC.80,0.0,91.15231323242188
RAINNC.81,0.0,82.85991668701172
RAINNC.82,0.0,79.81524658203125
RAINNC.83,0.0,40.52711486816406
RAINNC.84,0.0,93.43061065673828
RAINNC.85,0.0,85.05994415283203
RAINNC.86,0.0,82.69986724853516
RAINNC.87,0.0,42.01584243774414
RAINNC.88,0.0,95.8734359741211
RAINNC.89,0.0,87.23196411132812
RAINNC.90,0.0,84.98550415039062
RAINNC.91,0.0,43.13423156738281
RAINNC.92,0.0,98.30951690673828
RAINNC.93,0.0,89.59347534179688
RAINNC.94,0.0,87.62861633300781
RAINNC.95,0.0,44.38547134399414
RAINNC.96,0.0,100.7859878540039
RAINNC.97,0.0,91.96516418457031
RAINNC.98,0.0,90.07344818115234
RAINNC.99,0.0,45.59465026855469
PBLH,0.0,4078.9219
PBLH.1,0.0,4067.5625
PBLH.2,0.0,4207.684
PBLH.3,0.0,4233.677
PBLH.4,0.0,4078.9219
PBLH.5,0.0,4067.5625
PBLH.6,0.0,4207.684
PBLH.7,0.0,4233.677
PBLH.8,0.0,4078.9219
PBLH.9,0.0,4067.5625
PBLH.10,0.0,4207.684
PBLH.11,0.0,4233.677
PBLH.12,0.0,4078.9219
PBLH.13,0.0,4067.5625
PBLH.14,0.0,4207.684
PBLH.15,0.0,4233.677
PBLH.16,0.0,4078.9219
PBLH.17,0.0,4067.5625
PBLH.18,0.0,4207.684
PBLH.19,0.0,4233.677
PBLH.20,0.0,4078.9219
PBLH.21,0.0,4067.5625
PBLH.22,0.0,4207.684
PBLH.23,0.0,4233.677
PBLH.24,0.0,4078.9219
PBLH.25,0.0,4067.5625
PBLH.26,0.0,4207.684
PBLH.27,0.0,4233.677
PBLH.28,0.0,4078.9219
PBLH.29,0.0,4067.5625
PBLH.30,0.0,4207.684
PBLH.31,0.0,4233.677
PBLH.32,0.0,4078.9219
PBLH.33,0.0,4067.5625
PBLH.34,0.0,4207.684
PBLH.35,0.0,4233.677
PBLH.36,0.0,4078.9219
PBLH.37,0.0,4067.5625
PBLH.38,0.0,4207.684
PBLH.39,0.0,4233.677
PBLH.40,0.0,4078.9219
PBLH.41,0.0,4067.5625
PBLH.42,0.0,4207.684
PBLH.43,0.0,4233.677
PBLH.44,0.0,4078.9219
PBLH.45,0.0,4067.5625
PBLH.46,0.0,4207.684
PBLH.47,0.0,4233.677
PBLH.48,0.0,4078.9219
PBLH.49,0.0,4067.5625
PBLH.50,0.0,4207.684
PBLH.51,0.0,4233.677
PBLH.52,0.0,4078.9219
PBLH.53,0.0,4067.5625
PBLH.54,0.0,4207.684
PBLH.55,0.0,4233.677
PBLH.56,0.0,4078.9219
PBLH.57,0.0,4067.5625
PBLH.58,0.0,4207.684
PBLH.59,0.0,4233.677
PBLH.60,0.0,4078.9219
PBLH.61,0.0,4067.5625
PBLH.62,0.0,4207.684
PBLH.63,0.0,4233.677
PBLH.64,0.0,4078.9219
PBLH.65,0.0,4067.5625
PBLH.66,0.0,4207.684
PBLH.67,0.0,4233.677
PBLH.68,0.0,4078.9219
PBLH.69,0.0,4067.5625
PBLH.70,0.0,4207.684
PBLH.71,0.0,4233.677
PBLH.72,0.0,4078.9219
PBLH.73,0.0,4067.5625
PBLH.74,0.0,4207.684
PBLH.75,0.0,4233.677
PBLH.76,0.0,4078.9219
PBLH.77,0.0,4067.5625
PBLH.78,0.0,4207.684
PBLH.79,0.0,4233.677
PBLH.80,0.0,4078.9219
PBLH.81,0.0,4067.5625
PBLH.82,0.0,4207.684
PBLH.83,0.0,4233.677
PBLH.84,0.0,3996.7632
PBLH.85,0.0,3985.4172
PBLH.86,0.0,4113.149
PBLH.87,0.0,4166.6206
PBLH.88,0.0,4021.918
PBLH.89,0.0,4104.766
PBLH.90,0.0,4093.782958984375
PBLH.91,0.0,4144.19384765625
PBLH.92,0.0,4079.3804
PBLH.93,0.0,4170.4224
PBLH.94,0.0,4035.1875
PBLH.95,0.0,4067.792724609375
PBLH.96,0.0,4079.3804
PBLH.97,0.0,4170.4224
PBLH.98,0.0,4035.1875
PBLH.99,0.0,4004.314697265625
SWDOWN,0.0,1156.0447
SWDOWN.1,0.0,1153.4634
SWDOWN.2,0.0,1152.228
SWDOWN.3,0.0,1151.7003
SWDOWN.4,0.0,1156.0447
SWDOWN.5,0.0,1153.4634
SWDOWN.6,0.0,1152.228
SWDOWN.7,0.0,1151.7003
SWDOWN.8,0.0,1156.0447
SWDOWN.9,0.0,1153.4634
SWDOWN.10,0.0,1152.228
SWDOWN.11,0.0,1151.7003
SWDOWN.12,0.0,1156.0447
SWDOWN.13,0.0,1153.4634
SWDOWN.14,0.0,1152.228
SWDOWN.15,0.0,1151.7003
SWDOWN.16,0.0,1156.0447
SWDOWN.17,0.0,1153.4634
SWDOWN.18,0.0,1152.228
SWDOWN.19,0.0,1151.7003
SWDOWN.20,0.0,1156.0447
SWDOWN.21,0.0,1153.4634
SWDOWN.22,0.0,1152.228
SWDOWN.23,0.0,1151.7003
SWDOWN.24,0.0,1156.0447
SWDOWN.25,0.0,1153.4634
SWDOWN.26,0.0,1152.228
SWDOWN.27,0.0,1151.7003
SWDOWN.28,0.0,1156.0447
SWDOWN.29,0.0,1153.4634
SWDOWN.30,0.0,1152.228
SWDOWN.31,0.0,1151.7003
SWDOWN.32,0.0,1156.0447
SWDOWN.33,0.0,1153.4634
SWDOWN.34,0.0,1152.228
SWDOWN.35,0.0,1151.7003
SWDOWN.36,0.0,1156.0447
SWDOWN.37,0.0,1153.4634
SWDOWN.38,0.0,1152.228
SWDOWN.39,0.0,1151.7003
SWDOWN.40,0.0,1153.4259
SWDOWN.41,0.0,1151.5532
SWDOWN.42,0.0,1152.0801
SWDOWN.43,0.0,1151.7003
SWDOWN.44,0.0,1156.0447
SWDOWN.45,0.0,1153.4634
SWDOWN.46,0.0,1152.228
SWDOWN.47,0.0,1151.7003
SWDOWN.48,0.0,1156.0447
SWDOWN.49,0.0,1153.4634
SWDOWN.50,0.0,1152.228
SWDOWN.51,0.0,1151.7003
SWDOWN.52,0.0,1156.0447
SWDOWN.53,0.0,1153.4634
SWDOWN.54,0.0,1152.228
SWDOWN.55,0.0,1151.7003
SWDOWN.56,0.0,1156.0447
SWDOWN.57,0.0,1153.4634
SWDOWN.58,0.0,1152.228
SWDOWN.59,0.0,1151.7003
SWDOWN.60,0.0,1156.0447
SWDOWN.61,0.0,1153.4634
SWDOWN.62,0.0,1152.228
SWDOWN.63,0.0,1151.7003
SWDOWN.64,0.0,1156.0447
SWDOWN.65,0.0,1153.4634
SWDOWN.66,0.0,1152.228
SWDOWN.67,0.0,1151.7003
SWDOWN.68,0.0,1156.0447
SWDOWN.69,0.0,1153.4634
SWDOWN.70,0.0,1152.228
SWDOWN.71,0.0,1151.4607
SWDOWN.72,0.0,1156.0447
SWDOWN.73,0.0,1153.4634
SWDOWN.74,0.0,1152.228
SWDOWN.75,0.0,1151.4607
SWDOWN.76,0.0,1156.0447
SWDOWN.77,0.0,1153.4634
SWDOWN.78,0.0,1152.228
SWDOWN.79,0.0,1151.4607
SWDOWN.80,0.0,1155.2599
SWDOWN.81,0.0,1154.4305
SWDOWN.82,0.0,1154.606
SWDOWN.83,0.0,1157.0317
SWDOWN.84,0.0,1155.2599
SWDOWN.85,0.0,1154.4305
SWDOWN.86,0.0,1154.606
SWDOWN.87,0.0,1157.0317
SWDOWN.88,0.0,1155.2599
SWDOWN.89,0.0,1154.4305
SWDOWN.90,0.0,1154.606
SWDOWN.91,0.0,1157.0317
SWDOWN.92,0.0,1155.2599
SWDOWN.93,0.0,1154.4305
SWDOWN.94,0.0,1154.606
SWDOWN.95,0.0,1157.0317
SWDOWN.96,0.0,1155.2599
SWDOWN.97,0.0,1154.4305
SWDOWN.98,0.0,1154.606
SWDOWN.99,0.0,1157.0317
GLW,0.0,402.4445495605469
GLW.1,0.0,402.8642883300781
GLW.2,0.0,405.9123229980469
GLW.3,0.0,406.89032
GLW.4,0.0,402.4445495605469
GLW.5,0.0,402.8642883300781
GLW.6,0.0,405.9123229980469
GLW.7,0.0,406.89032
GLW.8,0.0,402.4445495605469
GLW.9,0.0,402.8642883300781
GLW.10,0.0,405.9123229980469
GLW.11,0.0,406.89032
GLW.12,0.0,402.4445495605469
GLW.13,0.0,402.8642883300781
GLW.14,0.0,405.9123229980469
GLW.15,0.0,406.89032
GLW.16,0.0,402.4445495605469
GLW.17,0.0,402.8642883300781
GLW.18,0.0,405.9123229980469
GLW.19,0.0,406.89032
GLW.20,0.0,402.4445495605469
GLW.21,0.0,402.8642883300781
GLW.22,0.0,405.9123229980469
GLW.23,0.0,406.89032
GLW.24,0.0,402.4445495605469
GLW.25,0.0,402.8642883300781
GLW.26,0.0,405.9123229980469
GLW.27,0.0,406.89032
GLW.28,0.0,402.4445495605469
GLW.29,0.0,402.8642883300781
GLW.30,0.0,405.9123229980469
GLW.31,0.0,406.89032
GLW.32,0.0,402.4445495605469
GLW.33,0.0,402.8642883300781
GLW.34,0.0,405.9123229980469
GLW.35,0.0,406.89032
GLW.36,0.0,402.4445495605469
GLW.37,0.0,402.8642883300781
GLW.38,0.0,405.9123229980469
GLW.39,0.0,406.89032
GLW.40,0.0,402.4445495605469
GLW.41,0.0,402.8642883300781
GLW.42,0.0,405.9123229980469
GLW.43,0.0,406.89032
GLW.44,0.0,402.4445495605469
GLW.45,0.0,402.8642883300781
GLW.46,0.0,405.9123229980469
GLW.47,0.0,406.89032
GLW.48,0.0,402.4445495605469
GLW.49,0.0,402.8642883300781
GLW.50,0.0,405.9123229980469
GLW.51,0.0,406.89032
GLW.52,0.0,402.4445495605469
GLW.53,0.0,402.8642883300781
GLW.54,0.0,405.9123229980469
GLW.55,0.0,406.89032
GLW.56,0.0,402.4445495605469
GLW.57,0.0,402.8642883300781
GLW.58,0.0,405.9123229980469
GLW.59,0.0,406.89032
GLW.60,0.0,402.4445495605469
GLW.61,0.0,402.8642883300781
GLW.62,0.0,405.9123229980469
GLW.63,0.0,406.89032
GLW.64,0.0,402.4445495605469
GLW.65,0.0,402.8642883300781
GLW.66,0.0,405.9123229980469
GLW.67,0.0,406.89032
GLW.68,0.0,402.4445495605469
GLW.69,0.0,402.8642883300781
GLW.70,0.0,405.9123229980469
GLW.71,0.0,406.89032
GLW.72,0.0,402.4445495605469
GLW.73,0.0,402.8642883300781
GLW.74,0.0,405.9123229980469
GLW.75,0.0,406.89032
GLW.76,0.0,400.8227844238281
GLW.77,0.0,402.8642883300781
GLW.78,0.0,405.9123229980469
GLW.79,0.0,406.89032
GLW.80,0.0,400.8227844238281
GLW.81,0.0,402.8642883300781
GLW.82,0.0,406.19952392578125
GLW.83,0.0,406.89032
GLW.84,0.0,405.1151123046875
GLW.85,0.0,402.1534423828125
GLW.86,0.0,409.3811340332031
GLW.87,0.0,409.9527282714844
GLW.88,0.0,407.0736389160156
GLW.89,0.0,404.35040283203125
GLW.90,0.0,409.3811340332031
GLW.91,0.0,409.9527282714844
GLW.92,0.0,407.0736389160156
GLW.93,0.0,404.35040283203125
GLW.94,0.0,409.3811340332031
GLW.95,0.0,409.9527282714844
GLW.96,0.0,407.0736389160156
GLW.97,0.0,404.35040283203125
GLW.98,0.0,409.3811340332031
GLW.99,0.0,409.9527282714844
